"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)",0.66979749067,0.408152302421513,0.925717818056,1834,0.00054525627044711
"tap_catTb",0.0530418972184875,-0.262218315183418,0.370383689936716,1969.69126331669,0.728462377317339
"tap_catTc",-0.353234717515838,-0.689615476552717,-0.039270060005947,1834,0.0272628135223555
"flight_cond5_15",0.18264894187778,-0.0434210399835138,0.404883545968914,2015.28478004592,0.107960741548528
"flight_cond9_10",-0.239627637417303,-0.458423820702592,-0.0235585859772982,1834,0.0348964013086151
"tap_catTb:flight_cond5_15",0.0762289694371933,-0.0791686168813612,0.23913647000154,1834,0.334787350054526
"tap_catTc:flight_cond5_15",0.8404270279566,0.674030606125598,0.992570200251066,1793.51453889284,0.00054525627044711
"tap_catTb:flight_cond9_10",0.0541841415762735,-0.0608416877730633,0.160286690661451,2013.25214371163,0.32824427480916
"tap_catTc:flight_cond9_10",0.708748598815848,0.598390070677851,0.814565860113362,1531.87514869605,0.00054525627044711
