,lift_err,e_reduct,r_time,gust,dir,taps,gustID,IDnum,out_cap,AoA,speed,contID,g_cat,tap_cat,red_mean,red_std,red_skew,red_dev,rise_mean,rise_std,rise_skew,d_colors,d_marks,alphas
0,-0.0012282549959432383,0.9759198294229199,0.3699977397918701,3.0,1.0,6.0,6,18,0.5631300737246185,5.0,10.0,30,g3,Th,0.8501430482582082,0.1292306752579873,-1.141301840024753,0.1257767811647117,0.7404005289077759,0.4709613297491694,1.798540154579323,#C0822C,^,0.3
1,0.03941446614596659,0.8069449419683846,0.679997444152832,3.0,1.0,3.0,6,19,0.5581375357536499,5.0,10.0,31,g3,Ta,0.8347697438104096,0.10996487382945529,-0.7674103450981865,0.02782480184202496,0.6728020429611206,0.2902718595429379,0.5072692937986323,#C0822C,^,0.3
2,-0.2379502640337089,-0.15904832852819584,1.2999951839447021,3.0,1.0,1.0,6,20,-0.8831414600078431,5.0,10.0,32,g3,Tl,0.1438869994111889,0.38915657639909185,0.7265053758161242,0.3029353279393847,0.8788017225265503,0.6594781198555006,-0.03568130041372459,#C0822C,^,0.3
3,-0.06668646468172286,0.7530303014039794,0.5599985122680664,3.0,-1.0,6.0,7,21,0.4016732528760696,5.0,10.0,30,g3,Th,0.7231983424406251,0.11269443029837913,0.1394622821025358,0.029831958963354333,0.5255997896194458,0.3270727018566731,1.4067750766712042,#0F665E,v,0.3
4,-0.04870735705458183,0.8075966007401814,0.48999738693237305,3.0,-1.0,3.0,7,22,0.5792051973456994,5.0,10.0,31,g3,Ta,0.8505617400178233,0.1474099506592915,-1.4477715815571288,0.042965139277641895,0.8292023372650147,0.39129224602439056,0.8656665940003508,#0F665E,v,0.3
5,0.2533725039501919,0.03236834970669633,1.239997386932373,3.0,-1.0,1.0,7,23,0.020962032238076023,5.0,10.0,32,g3,Tl,0.49450563842327727,0.2534921610486727,-0.23748564585772833,0.46213728871658094,1.087201352119446,0.30295494607380175,0.035010303484741205,#0F665E,v,0.3
6,0.044127730825321086,0.8800131973916422,0.5599997043609619,4.5,1.0,6.0,8,24,0.6479536898564873,5.0,10.0,30,g4_5,Th,0.8914989830018264,0.08807186803598054,-1.2828109078669152,0.011485785610184207,0.8353969573974609,0.29457989407895824,0.9204574392788099,#C0822C,^,0.6
7,-0.03350901298114206,0.901500632108696,0.48999714851379395,4.5,1.0,3.0,8,25,0.7182749157433204,5.0,10.0,31,g4_5,Ta,0.9028041173217438,0.06911767257252623,-0.7206202154139975,0.0013034852130477947,0.7775965070724488,0.28630962153758654,1.4966680963771557,#C0822C,^,0.6
8,0.07935302726710038,0.7849592492497838,0.8099977970123291,4.5,1.0,1.0,8,26,-0.5921150400731292,5.0,10.0,32,g4_5,Tl,0.46850931848676924,0.3188273663082028,-0.3814895234951022,0.31644993076301453,0.7089979267120361,0.5989819491267578,0.4600125657969734,#C0822C,^,0.6
9,-0.13263119844238994,0.6923084778790021,0.6199965476989746,4.5,-1.0,6.0,9,27,0.5295359879649857,5.0,10.0,30,g4_5,Th,0.7797334523646272,0.08899765736508007,0.4308389576958142,0.08742497448562514,0.9405959415435791,0.36130828807670234,1.254781122732503,#0F665E,v,0.6
10,-0.022026223422201726,0.9475834091919214,0.5499975681304932,4.5,-1.0,3.0,9,28,0.613672444205205,5.0,10.0,31,g4_5,Ta,0.857744232461544,0.12811867086540826,-1.0357205254576403,0.08983917673037745,0.8219972658157348,0.3331606820420058,0.9767420382923084,#0F665E,v,0.6
11,0.11198392583955084,0.7426270218017172,0.7399959564208984,4.5,-1.0,1.0,9,29,0.5526348575933953,5.0,10.0,32,g4_5,Tl,0.8648051875580259,0.12109365735139874,-0.9489617092230173,0.12217816575630869,1.0737971925735474,0.40110101338796134,0.3075760843370537,#0F665E,v,0.6
12,0.044654131324578225,0.9137775590199685,0.9899957180023193,6.0,1.0,6.0,10,30,0.6094446971303576,5.0,10.0,30,g6,Th,0.9101774345391962,0.07445442669226149,-0.4700965090133849,0.003600124480772293,1.0415963649749755,0.2765843648670251,0.5434069394782423,#C0822C,^,1.0
13,0.032788804173485245,0.9334294085141722,0.6199984550476074,6.0,1.0,3.0,10,31,0.8354443335033699,5.0,10.0,31,g6,Ta,0.9491841263747308,0.0393665786059007,-0.5985262277796212,0.015754717860558598,0.9435965299606324,0.2883495449977278,0.19885145790739936,#C0822C,^,1.0
14,0.04927979796026375,0.9022253197392707,0.9299955368041992,6.0,1.0,1.0,10,32,-0.52874647739409,5.0,10.0,32,g6,Tl,0.5694675650054112,0.390519920088332,-0.685367084299336,0.3327577547338595,0.8703966665267945,0.5531337954989877,-0.022298768485528704,#C0822C,^,1.0
15,-0.08802525881343198,0.853601540756171,1.2999944686889648,6.0,-1.0,6.0,11,33,0.7378648663387549,5.0,10.0,30,g6,Th,0.8853174804778042,0.05314103052503131,-0.38848001840074947,0.031715939721633224,1.040396409034729,0.38263127780528483,0.3018647851977887,#0F665E,v,1.0
16,-0.009476850961281168,0.9872242435157096,0.5599982738494873,6.0,-1.0,3.0,11,34,0.7270180682471982,5.0,10.0,31,g6,Ta,0.9000147618096973,0.08964595845239216,-1.4086230779622477,0.08720948170601228,1.1707959413528441,0.47967434464446546,0.7410899728413716,#0F665E,v,1.0
17,-0.023241249633495747,0.9661185672288936,1.549994707107544,6.0,-1.0,1.0,11,35,0.713533169996831,5.0,10.0,32,g6,Tl,0.8798778912570577,0.057967548083466824,-0.05405546154131981,0.08624067597183582,1.188795895576477,0.4227962257029802,-0.12643054621564268,#0F665E,v,1.0
